id	candidate
18165	Trump
18167	Trump
18169	Trump
18171	Clinton
18173	Trump
18175	Trump
18177	Trump
18179	Trump
18181	Trump
18183	Trump
19000	Trump
19001	Trump
19003	Clinton
19005	Trump
19007	Trump
19009	Trump
19011	Trump
19013	Clinton
19015	Trump
19017	Trump
19019	Trump
19021	Trump
19023	Trump
19025	Trump
19027	Trump
19029	Trump
19031	Trump
19033	Trump
19035	Trump
19037	Trump
19039	Trump
19041	Trump
19043	Clinton
19045	Trump
19047	Trump
19049	Clinton
19051	Trump
19053	Trump
19055	Trump
19057	Trump
19059	Trump
19061	Trump
19063	Trump
19065	Trump
19067	Trump
19069	Trump
19071	Trump
19073	Clinton
19075	Trump
19077	Trump
19079	Trump
19081	Clinton
19083	Trump
19085	Trump
19087	Trump
19089	Trump
19091	Clinton
19093	Trump
19095	Trump
19097	Trump
19099	Trump
19101	Clinton
19103	Trump
19105	Trump
19107	Trump
19109	Trump
19111	Trump
19113	Clinton
19115	Trump
19117	Trump
19119	Trump
19121	Trump
19123	Trump
19125	Trump
19127	Trump
19129	Trump
19131	Trump
19133	Trump
19135	Trump
19137	Clinton
19139	Trump
19141	Trump
19143	Clinton
19145	Trump
19147	Trump
19149	Trump
19151	Trump
19153	Trump
19155	Trump
19157	Trump
19159	Trump
19161	Trump
19163	Trump
19165	Trump
19167	Trump
19169	Clinton
19171	Trump
19173	Trump
19175	Trump
19177	Trump
19179	Trump
19181	Clinton
19183	Trump
19185	Trump
19187	Trump
19189	Trump
19191	Trump
19193	Trump
19195	Trump
19197	Trump
20000	
20001	Trump
20003	Trump
20005	Trump
20007	Trump
20009	Trump
20011	Trump
20013	Trump
20015	Trump
20017	Trump
20019	Trump
20021	Trump
20023	Trump
20025	Trump
20027	Trump
20029	Trump
20031	Trump
20033	Trump
20035	Trump
20037	Trump
20039	Trump
20041	Trump
20043	Trump
20045	Trump
20047	Trump
20049	Trump
20051	Trump
20053	Trump
20055	Trump
20057	Trump
20059	Trump
20061	Clinton
20063	Trump
20065	Trump
20067	Trump
20069	Trump
20071	Trump
20073	Trump
20075	Trump
20077	Trump
20079	Trump
20081	Trump
20083	Trump
20085	Trump
20087	Clinton
20089	Trump
20091	Trump
20093	Trump
20095	Trump
20097	Trump
20099	Trump
20101	Trump
20103	Trump
20105	Trump
20107	Clinton
20109	Trump
20111	Trump
20113	Trump
20115	Trump
20117	Trump
20119	Trump
20121	Trump
20123	Trump
20125	Clinton
20127	Trump
20129	Trump
20131	Trump
20133	Trump
20135	Trump
20137	Trump
20139	Trump
20141	Trump
20143	Trump
20145	Trump
20147	Clinton
20149	Trump
20151	Trump
20153	Trump
20155	Trump
20157	Trump
20159	Trump
20161	Trump
20163	Trump
20165	Trump
20167	Clinton
20169	Trump
20171	Trump
20173	Trump
20175	Trump
20177	Trump
20179	Trump
20181	Trump
20183	Trump
20185	Trump
20187	Trump
20189	Trump
20191	Trump
20193	Trump
20195	Trump
20197	Trump
20199	Trump
20201	Trump
20203	Trump
20205	Trump
20207	Trump
20209	Clinton
21000	
21001	Trump
21003	Trump
21005	Trump
21007	Trump
21009	Trump
21011	Trump
21013	Trump
21015	Trump
21017	Trump
21019	Trump
21021	Trump
21023	Trump
21025	Trump
21027	Trump
21029	Trump
21031	Trump
21033	Trump
21035	Trump
21037	Trump
21039	Trump
21041	Trump
21043	Trump
21045	Trump
21047	Trump
21049	Trump
21051	Trump
21053	Trump
21055	Clinton
21057	Trump
21059	Trump
21061	Trump
21063	Trump
21065	Trump
21067	Trump
21069	Trump
21071	Trump
21073	Trump
21075	Trump
21077	Trump
21079	Trump
21081	Trump
21083	Trump
21085	Trump
21087	Trump
21089	Trump
21091	Clinton
21093	Trump
21095	Trump
21097	Trump
21099	Trump
21101	Trump
21103	Trump
21105	Trump
21107	Trump
21109	Trump
21111	Clinton
21113	Trump
21115	Trump
21117	Trump
21119	Trump
21121	Trump
21123	Trump
21125	Trump
21127	Trump
21129	Trump
21131	Trump
21133	Trump
21135	Trump
21137	Trump
21139	Trump
21141	Trump
21143	Trump
21145	Trump
21147	Trump
21149	Trump
21151	Trump
21153	Trump
21155	Trump
21157	Trump
21159	Trump
21161	Trump
21163	Trump
21165	Trump
21167	Trump
21169	Trump
21171	Trump
21173	Clinton
21175	Trump
21177	Trump
21179	Trump
21181	Trump
21183	Trump
21185	Trump
21187	Trump
21189	Trump
21191	Trump
21193	Clinton
21195	Trump
21197	Trump
21199	Clinton
21201	Trump
21203	Trump
21205	Trump
21207	Clinton
21209	Trump
21211	Trump
21213	Trump
21215	Trump
21217	Trump
21219	Trump
21221	Trump
21223	Trump
21225	Trump
21227	Clinton
21229	Trump
21231	Trump
21233	Trump
21235	Trump
21237	Trump
21239	Trump
22000	
22001	Trump
22003	Trump
22005	Trump
22007	Trump
22009	Trump
22011	Trump
22013	Trump
22015	Trump
22017	Clinton
22019	Trump
22021	Trump
22023	Trump
22025	Trump
22027	Trump
22029	Trump
22031	Trump
22033	Clinton
22035	Clinton
22037	Trump
22039	Trump
22041	Trump
22043	Trump
22045	Trump
22047	Clinton
22049	Trump
22051	Clinton
22053	Trump
22055	Trump
22057	Trump
22059	Trump
22061	Trump
22063	Trump
22065	Trump
22067	Trump
22069	Trump
22071	Clinton
22073	Trump
22075	Trump
22077	Trump
22079	Trump
22081	Trump
22083	Trump
22085	Trump
22087	Trump
22089	Trump
22091	Clinton
22093	Clinton
22095	Clinton
22097	Trump
22099	Trump
22101	Trump
22103	Trump
22105	Trump
22107	Clinton
22109	Trump
22111	Trump
22113	Trump
22115	Trump
22117	Trump
22119	Trump
22121	Trump
22123	Trump
22125	Trump
22127	Trump
23000	
23001	Trump
23003	Clinton
23005	Trump
23007	Trump
23009	Clinton
23011	Trump
23013	Trump
23015	Trump
23017	Trump
23019	Clinton
23021	Clinton
23023	Clinton
23025	Trump
23027	Clinton
23029	Trump
23031	Clinton
24000	
24001	Trump
24003	Clinton
24005	
24009	Trump
24011	Trump
24013	Trump
24015	Trump
24017	Clinton
24019	Trump
24021	Trump
24023	Trump
24025	Trump
24027	Trump
24029	Trump
24031	Clinton
24033	Clinton
24035	Trump
24037	Trump
24039	Trump
24041	Clinton
24043	Trump
24045	Trump
24047	Clinton
24510	Clinton
25000	
25001	Clinton
25003	Clinton
25005	Clinton
25007	Clinton
25009	Clinton
25011	Trump
25013	Clinton
25015	Clinton
25017	Clinton
25019	Clinton
25021	Clinton
25023	Trump
25025	Clinton
25027	Clinton
26000	
26001	Trump
26003	Trump
26005	Trump
26007	Trump
26009	Trump
26011	Trump
26013	Trump
26015	Trump
26017	Trump
26019	Trump
26021	Trump
26023	Trump
26025	Trump
26027	Trump
26029	Trump
26031	Trump
26033	Trump
26035	Trump
26037	Trump
26039	Trump
26041	Trump
26043	Trump
26045	Trump
26047	Trump
26049	Clinton
26051	Trump
26053	Trump
26055	Trump
26057	Trump
26059	Trump
26061	Trump
26063	Trump
26065	Clinton
26067	Trump
26069	Trump
26071	Trump
26073	Trump
26075	Trump
26077	Clinton
26079	Trump
26081	Trump
26083	Trump
26085	Clinton
26087	Trump
26089	Trump
26091	Trump
26093	Trump
26095	Trump
26097	Trump
26099	Trump
26101	Trump
26103	Clinton
26105	Trump
26107	Trump
26109	Trump
26111	Trump
26113	Trump
26115	Trump
26117	Trump
26119	Trump
26121	Clinton
26123	Trump
26125	Clinton
26127	Trump
26129	Trump
26131	Trump
26133	Clinton
26135	Trump
26137	Trump
26139	Trump
26141	Trump
26143	Trump
26145	Trump
26147	Trump
26149	Clinton
26151	Trump
26153	Trump
26155	Trump
26157	Trump
26159	Trump
26161	Clinton
26163	Trump
26165	Trump
27000	
27001	Trump
27003	Trump
27005	Trump
27007	Trump
27009	Trump
27011	Trump
27013	Trump
27015	Trump
27017	Clinton
27019	Trump
27021	Trump
27023	Trump
27025	Trump
27027	Trump
27029	Trump
27031	Trump
27033	Trump
27035	Trump
27037	Clinton
27039	Trump
27041	Trump
27043	Trump
27045	Trump
27047	Trump
27049	Trump
27051	Trump
27053	Clinton
27055	Trump
27057	Trump
27059	Trump
27061	Trump
27063	Trump
27065	Trump
27067	Trump
27069	Trump
27071	Trump
27073	Trump
27075	Clinton
27077	Trump
27079	Trump
27081	Trump
27083	Trump
27085	Trump
27087	Trump
27089	Trump
27091	Trump
27093	Trump
27095	Trump
27097	Trump
27099	Trump
27101	Trump
27103	Trump
27105	Trump
27107	Trump
27109	Clinton
27111	Trump
27113	Trump
27115	Trump
27117	Trump
27119	Trump
27121	Trump
27123	Clinton
27125	Trump
27127	Trump
27129	Trump
27131	Trump
27133	Trump
27135	Trump
27137	Clinton
27139	Trump
27141	Trump
27143	Trump
27145	Trump
27147	Trump
27149	Trump
27151	Trump
27153	Trump
27155	Trump
27157	Trump
27159	Trump
27161	Trump
27163	Trump
27165	Trump
27167	Trump
27169	Trump
27171	Trump
27173	Trump
28000	Trump
28001	Clinton
28003	Trump
28005	Trump
28007	Trump
28009	Trump
28011	Clinton
28013	Trump
28015	Trump
28017	Trump
28019	Trump
28021	Trump
28023	Trump
28025	Trump
28027	Clinton
28029	Clinton
28031	Trump
28033	Trump
28035	Trump
28037	Trump
28039	Trump
28041	Clinton
28043	Trump
28045	Clinton
28047	Trump
28049	Clinton
28051	Trump
28053	Clinton
28055	Clinton
28057	Trump
28059	Trump
28061	Trump
28063	Clinton
28065	Trump
28067	Trump
28069	Clinton
28071	Trump
28073	Trump
28075	Trump
28077	Trump
28079	Trump
28081	Trump
28083	Clinton
28085	Trump
28087	Clinton
28089	Trump
28091	Trump
28093	Trump
28095	Trump
28097	Clinton
28099	Trump
28101	Trump
28103	Clinton
28105	Clinton
28107	Trump
28109	Trump
28111	Clinton
28113	Trump
28115	Trump
28117	Trump
28119	Trump
28121	Trump
28123	Trump
28125	Clinton
28127	Trump
28129	Trump
28131	Trump
28133	Clinton
28135	Clinton
28137	Trump
28139	Trump
28141	Trump
28143	Clinton
28145	Trump
28147	Trump
28149	Clinton
28151	Trump
28153	Trump
28155	Trump
28157	Trump
28159	Trump
28161	Trump
28163	Clinton
29000	
29001	Trump
29003	Trump
29005	Trump
29007	Trump
29009	Trump
29011	Trump
29013	Trump
29015	Trump
29017	Trump
29019	Trump
29021	Trump
29023	Trump
29025	Trump
29027	Trump
29029	Trump
29031	Trump
29033	Trump
29035	Trump
29037	Trump
29039	Trump
29041	Trump
29043	Trump
29045	Trump
29047	Trump
29049	Trump
29051	Trump
29053	Trump
29055	Trump
29057	Trump
29059	Clinton
29061	Trump
29063	
29065	Trump
29067	Trump
29069	Trump
29071	Trump
29073	Trump
29075	Trump
29077	Clinton
29079	Trump
29081	Trump
29083	Trump
29085	Trump
29087	Trump
29089	Trump
29091	Trump
29093	Trump
29095	Trump
29097	Trump
29099	Clinton
29101	Trump
29103	Trump
29105	Trump
29107	Trump
29109	Trump
29111	Trump
29113	Trump
29115	Clinton
29117	Trump
29119	Trump
29121	Clinton
29123	Trump
29125	Trump
29127	Trump
29129	Trump
29131	Trump
29133	Trump
29135	Trump
29137	Trump
29139	Clinton
29141	Trump
29143	Trump
29145	Trump
29147	Trump
29149	Trump
29151	Trump
29153	Trump
29155	Trump
29157	Clinton
29159	Trump
29161	Trump
29163	Trump
29165	Trump
29167	Trump
29169	Clinton
29171	Trump
29173	Trump
29175	Trump
29177	Trump
29179	Trump
29181	Trump
29183	Trump
29185	Trump
29186	
29187	Trump
29189	Clinton
29195	Trump
29197	Trump
29199	Trump
29201	Trump
29203	Trump
29205	Trump
29207	Trump
29209	Trump
29211	Trump
29213	Trump
29215	Trump
29217	Trump
29219	Clinton
29221	Trump
29223	Trump
29225	Trump
29227	Trump
29229	Trump
29510	
30000	
30001	Trump
30003	Clinton
30005	Clinton
30007	Trump
30009	Trump
30011	Trump
30013	Trump
30015	Trump
30017	Trump
30019	Trump
30021	Trump
30023	Clinton
30025	Trump
30027	Trump
30029	Trump
30031	Trump
30033	Trump
30035	Clinton
30037	Trump
30039	Trump
30041	Trump
30043	Clinton
30045	Trump
30047	Clinton
30049	Trump
30051	Trump
30053	Trump
30055	Trump
30057	Trump
30059	Trump
30061	Trump
30063	Clinton
30065	Trump
30067	Trump
30069	Trump
30071	Clinton
30073	Trump
30075	Trump
30077	Trump
30079	Trump
30081	Trump
30083	Trump
30085	Trump
30087	Trump
30089	Trump
30091	Trump
30093	Clinton
30095	Trump
30097	Trump
30099	Trump
30101	Trump
30103	Trump
30105	Trump
30107	Trump
30109	Trump
30111	Trump
30113	
31000	
31001	Clinton
31003	Trump
31005	Trump
31007	Trump
31009	Clinton
31011	Trump
31013	Trump
31015	Trump
31017	Trump
31019	Trump
31021	Trump
31023	Trump
31025	Trump
31027	Trump
31029	Trump
31031	Trump
31033	Trump
31035	Trump
31037	Trump
31039	Trump
31041	Trump
31043	Clinton
31045	Trump
31047	Trump
31049	Trump
31051	Trump
31053	Trump
31055	Trump
31057	Trump
31059	Trump
31061	Trump
31063	Trump
31065	Trump
31067	Trump
31069	Trump
31071	Trump
31073	Trump
31075	Trump
31077	Trump
31079	Trump
31081	Trump
31083	Trump
31085	Trump
31087	Trump
31089	Trump
31091	Trump
31093	Trump
31095	Clinton
31097	Trump
31099	Trump
31101	Trump
31103	Trump
31105	Trump
31107	Trump
31109	Clinton
31111	Trump
31113	Trump
31115	Trump
31117	Trump
31119	Trump
31121	Trump
31123	Trump
31125	Trump
31127	Trump
31129	Trump
31131	Trump
31133	Trump
31135	Trump
31137	Trump
31139	Trump
31141	Trump
31143	Trump
31145	Trump
31147	Trump
31149	Trump
31151	Trump
31153	Trump
31155	Trump
31157	Trump
31159	Trump
31161	Trump
31163	Trump
31165	Trump
31167	Trump
31169	Trump
31171	Trump
31173	Trump
31175	Trump
31177	Trump
31179	Trump
31181	Trump
31183	Trump
31185	Clinton
32000	Trump
32001	Trump
32003	Trump
32005	Trump
32007	Trump
32009	Trump
32011	Trump
32013	Clinton
32015	Trump
32017	Trump
32019	Trump
32021	Trump
32023	Trump
32027	Trump
32029	Trump
32031	Clinton
32033	Trump
32510	Trump
33000	
33001	Trump
33003	Trump
33005	Clinton
33007	Trump
33009	Clinton
33011	Clinton
33013	Clinton
33015	Trump
33017	Clinton
33019	Trump
34000	
34001	Clinton
34003	Clinton
34005	Clinton
34007	Trump
34009	Trump
34011	Trump
34013	Clinton
34015	Trump
34017	Clinton
34019	Trump
34021	Trump
34023	Clinton
34025	Trump
34027	Trump
34029	Trump
34031	Clinton
34033	Trump
34035	Trump
34037	Trump
34039	Trump
34041	Clinton
35000	
35001	Clinton
35003	Trump
35005	Trump
35006	Clinton
35007	Trump
35009	Trump
35011	Trump
35013	Clinton
35015	Trump
35017	Trump
35019	Clinton
35021	Trump
35023	Trump
35025	Trump
35027	Trump
35028	Clinton
35029	Trump
35031	Clinton
35033	Clinton
35035	Trump
35037	Trump
35039	Clinton
35041	Trump
35043	Clinton
35045	Clinton
35047	Clinton
35049	Clinton
35051	Trump
35053	Clinton
35055	Clinton
35057	Trump
35059	Trump
35061	Trump
36000	Clinton
36001	Clinton
36003	Trump
36005	Clinton
36007	Trump
36009	Trump
36011	Trump
36013	Trump
36015	Trump
36017	Trump
36019	Trump
36021	Trump
36023	Trump
36025	Trump
36027	Trump
36029	Clinton
36031	Clinton
36033	Trump
36035	Trump
36037	Clinton
36039	Clinton
36041	Trump
36043	Trump
36045	Clinton
36047	Trump
36049	Trump
36051	Trump
36053	Trump
36055	Trump
36057	Clinton
36059	Trump
36061	Clinton
36063	Trump
36065	Trump
36067	Clinton
36069	Clinton
36071	Clinton
36073	Clinton
36075	Trump
36077	Trump
36079	Trump
36081	Clinton
36083	Trump
36085	Clinton
36087	Clinton
36089	Trump
36091	Trump
36093	Clinton
36095	Trump
36097	Trump
36099	Trump
36101	Trump
36103	Clinton
36105	Trump
36107	Trump
36109	Clinton
36111	Clinton
36113	Clinton
36115	Trump
36117	Trump
36119	Clinton
36121	Trump
36123	Trump
37000	
37001	Trump
37003	Trump
37005	Trump
37007	Clinton
37009	Trump
37011	Trump
37013	Trump
37015	Clinton
37017	Trump
37019	Trump
37021	Clinton
37023	Clinton
37025	Trump
37027	Trump
37029	Trump
37031	Trump
37033	Trump
37035	Trump
37037	Clinton
37039	Trump
37041	Trump
37043	Trump
37045	Trump
37047	Trump
37049	Trump
37051	Trump
37053	Trump
37055	Trump
37057	Trump
37059	Trump
37061	Trump
37063	Clinton
37065	Clinton
37067	Trump
37069	Trump
37071	Trump
37073	Trump
37075	Trump
37077	Trump
37079	Clinton
37081	Clinton
37083	Clinton
37085	Trump
37087	Trump
37089	Trump
37091	Clinton
37093	Clinton
37095	Trump
37097	Trump
37099	Trump
